NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,UTM,電話番号,広さ（メートル）,区分,備考
1,222127,静岡県,焼津市,焼津市総合グラウンド,ヤイヅシソウゴウグラウンド,静岡県焼津市保福島950-1,34.864256,138.277991,54STD51176137,,120×100,拠点ヘリポート,
2,222127,静岡県,焼津市,東益津小学校グラウンド,ヒガシマシヅショウガッコウグラウンド,静岡県焼津市石脇上65,34.886929,138.320673,54STD55146378,,130×80,防災ヘリポート,
3,222127,静岡県,焼津市,大村中学校グラウンド,オオムラチュウガッコウグラウンド,静岡県焼津市大村3-25-1,34.871720,138.305526,54STD53716213,,130×70,防災ヘリポート,
4,222127,静岡県,焼津市,焼津中学校グラウンド,ヤイヅチュウガッコウグラウンド,静岡県焼津市焼津2-10-28,34.865382,138.312404,54STD54326141,,130×70,防災ヘリポート,
5,222127,静岡県,焼津市,小川中学校グラウンド,コガワチュウガッコウグラウンド,静岡県焼津市東小川4-21-1,34.853787,138.313875,54STD54426012,,110×70,防災ヘリポート,
6,222127,静岡県,焼津市,黒石小学校グラウンド,クロイシショウガッコウグラウンド,静岡県焼津市大住1246,34.851057,138.300514,54STD53195985,,150×60,防災ヘリポート,
7,222127,静岡県,焼津市,大富中学校グラウンド,オオトミチュウガッコウグラウンド,静岡県焼津市中根1-1,34.839581,138.299249,54STD53045858,,100×60,防災ヘリポート,
8,222127,静岡県,焼津市,大井川中学校グラウンド,オオイガワチュウガッコウグラウンド,静岡県焼津市下江留191,34.800705,138.281941,54STD51345431,,90×120,防災ヘリポート,
9,222127,静岡県,焼津市,大井川文化会館駐車場,オオイガワブンカカイカンチュウシャジョウ,静岡県焼津市宗高888,34.803692,138.282499,54STD51405464,,80×100,防災ヘリポート,
10,222127,静岡県,焼津市,大井川河川敷スポーツ広場,オオイガワカセンジキスポーツヒロバ,静岡県焼津市相川・西島地先,34.797299,138.262711,54STD49575398,,120×240,防災ヘリポート,
11,222127,静岡県,焼津市,大井川河川敷運動公園陸上競技場,オオイガワカセンジキウンドウコウエンリクジョウキョウギジョウ,静岡県焼津市西島538,34.794940,138.266068,54STD49875371,,120×120,防災ヘリポート,
12,222127,静岡県,焼津市,石津西公園,イシヅニシコウエン,静岡県焼津市石津421-3,34.841823,138.315030,54STD54495879,,35×35,防災ヘリポート,
