NO,区分,名称,カタカナ,緯度,経度,留意事項,備考
1,駐車場,焼津小石川駐車場,ヤイズコイシカワチュウシャジョウ,34.8710681,138.3208352,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
2,駐車場,三井のリパーク焼津駅南口,ミツイノリパークヤイズエイミナミグチ,34.872268,138.3199749,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
3,駐車場,AMANO,アマノ,34.8722074,138.3186473,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
4,駐車場,AMBIA,アンビア,34.8717541,138.3187057,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
5,駐車場,焼津駅南駐車場,ヤイヅエキナンチュウシャジョウ,34.8717862,138.3180784,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
6,駐車場,焼津駅南駐車場,ヤイヅエキナンチュウシャジョウ,34.8717159,138.3181263,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
7,駐車場,AMANO,アマノ,34.8718511,138.3176639,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
8,駐車場,アットパーク焼津駅前,アットパークヤイズエキマエ,34.8712767,138.3178909,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
9,レンタサイクル,やいづレンタルサービス,ヤイヅレンタルサービス,34.8718172,138.3185799,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
10,駐車場,リブレ焼津駅前駐車場,リブレヤイズエキマエチュシャジョウ,34.8712822,138.3186882,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
11,駐車場,八代チケットパーキング第二,ヤシロチケットパーキングダイニ,34.8706371,138.319467,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
12,駐車場,TP焼津駅前第一,ティーピーヤイズエキマエダイイチ,34.8709513,138.3188815,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
13,駐車場,ターントクルこども館駐車場,ターントクルコドモカンチュウシャジョウ,34.8695534,138.3209948,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
14,駐車場,B.B.Parking,ビーバーパーキング,34.8680928,138.3210324,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
15,駐車場,焼津市役所立体駐車場,ヤイヅシヤクショリッタイチュウシャジョウ,34.8667304,138.3234097,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
16,駐車場,市役所駐車場,シヤクショチュウシャジヨウ,34.8674269,138.3232043,魚フェス来場者は、会場周辺の無料駐車場をご利用いただけます。,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
