NO,名称,説明,緯度,経度,画像,備考
1,自動販売機,,34.8686614,138.3211382,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/39_41_IMG_9585.jpeg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
2,自動販売機,,34.8719547,138.3182818,,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
3,自動販売機,なお歯科クリニック自販機,34.8670815,138.3226196,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/37_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
4,自動販売機,ダイドー自販機,34.8652751,138.3222849,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/35_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
5,自動販売機,アサヒ自販機,34.864605,138.3220223,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/33_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
6,自動販売機,めだかのがっこう前自販機,34.8642162,138.3220023,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/32_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
7,自動販売機,,34.8690635,138.3196176,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/31_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
8,自動販売機,伊藤園自販機,34.8640153,138.3219316,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/30_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
9,自動販売機,チョットバー前自販機,34.8638298,138.3217531,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/29_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
10,自動販売機,,34.8714103,138.3191995,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/21_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
11,自動販売機,,34.8712452,138.3188499,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/17_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
12,自動販売機,江川橋近く自販機,34.8629717,138.323671,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/16_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
13,自動販売機,自動販売機,34.8698525,138.3200146,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/10_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
14,自動販売機,,34.8689204,138.3206784,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/6_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
15,自動販売機,,34.8683483,138.3203853,https://yaizu-smartcity.jp/images/opendata/spot_walkingevent/5_41_image.jpg,本データは、2025年9月の焼津市街歩きイベントにより収集した情報です。現況と異なることがあります。
